; Number of ROIs: 2
; File Dimension: 507 x 624
;
; ROI name: water
; ROI rgb value: {72, 72, 255}
; ROI npts: 4335
;
; ROI name: land
; ROI rgb value: {255, 206, 116}
; ROI npts: 3300
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1, B2, B3, B4
 6434,  7136,  764300.0000,  2628640.0000,  23.74712828,  119.59289236,  365,  302,  134,   95
 6435,  7136,  764310.0000,  2628640.0000,  23.74712664,  119.59299038,  371,  318,  135,   91
 6436,  7136,  764320.0000,  2628640.0000,  23.74712499,  119.59308841,  331,  291,  145,   94
 6437,  7136,  764330.0000,  2628640.0000,  23.74712335,  119.59318644,  361,  323,  137,   98
 6438,  7136,  764340.0000,  2628640.0000,  23.74712170,  119.59328446,  376,  321,  130,   88
 6439,  7136,  764350.0000,  2628640.0000,  23.74712005,  119.59338249,  377,  322,  143,   83
 6440,  7136,  764360.0000,  2628640.0000,  23.74711841,  119.59348051,  376,  327,  139,   91
 6441,  7136,  764370.0000,  2628640.0000,  23.74711676,  119.59357854,  349,  330,  131,   96
 6442,  7136,  764380.0000,  2628640.0000,  23.74711512,  119.59367656,  384,  324,  131,   88
 6443,  7136,  764390.0000,  2628640.0000,  23.74711347,  119.59377459,  377,  314,  130,   84
 6444,  7136,  764400.0000,  2628640.0000,  23.74711182,  119.59387262,  363,  304,  126,   98
 6445,  7136,  764410.0000,  2628640.0000,  23.74711018,  119.59397064,  377,  296,  134,   77
 6446,  7136,  764420.0000,  2628640.0000,  23.74710853,  119.59406867,  345,  276,  116,   85
 6447,  7136,  764430.0000,  2628640.0000,  23.74710689,  119.59416669,  341,  300,  124,  105
 6448,  7136,  764440.0000,  2628640.0000,  23.74710524,  119.59426472,  366,  328,  123,   93
 6449,  7136,  764450.0000,  2628640.0000,  23.74710359,  119.59436275,  365,  328,  128,   90
 6450,  7136,  764460.0000,  2628640.0000,  23.74710195,  119.59446077,  369,  333,  131,   85
 6451,  7136,  764470.0000,  2628640.0000,  23.74710030,  119.59455880,  404,  325,  128,   82
 6452,  7136,  764480.0000,  2628640.0000,  23.74709865,  119.59465682,  367,  320,  127,   88
 6453,  7136,  764490.0000,  2628640.0000,  23.74709701,  119.59475485,  343,  328,  118,   94
 6454,  7136,  764500.0000,  2628640.0000,  23.74709536,  119.59485288,  365,  302,  111,   92
 6455,  7136,  764510.0000,  2628640.0000,  23.74709371,  119.59495090,  374,  282,  120,   87
 6456,  7136,  764520.0000,  2628640.0000,  23.74709207,  119.59504893,  375,  296,  132,   82
 6457,  7136,  764530.0000,  2628640.0000,  23.74709042,  119.59514695,  357,  304,  138,   73
 6458,  7136,  764540.0000,  2628640.0000,  23.74708877,  119.59524498,  340,  319,  133,   63
 6459,  7136,  764550.0000,  2628640.0000,  23.74708712,  119.59534300,  360,  329,  109,   69
 6460,  7136,  764560.0000,  2628640.0000,  23.74708548,  119.59544103,  358,  342,  128,   91
 6461,  7136,  764570.0000,  2628640.0000,  23.74708383,  119.59553906,  386,  336,  121,   90
 6462,  7136,  764580.0000,  2628640.0000,  23.74708218,  119.59563708,  426,  320,  116,   77
 6463,  7136,  764590.0000,  2628640.0000,  23.74708054,  119.59573511,  388,  327,  118,   69
 6464,  7136,  764600.0000,  2628640.0000,  23.74707889,  119.59583313,  375,  317,  111,   77
 6465,  7136,  764610.0000,  2628640.0000,  23.74707724,  119.59593116,  370,  322,  108,   81
 6466,  7136,  764620.0000,  2628640.0000,  23.74707559,  119.59602918,  380,  344,  120,   77
 6467,  7136,  764630.0000,  2628640.0000,  23.74707395,  119.59612721,  384,  352,  119,   78
 6468,  7136,  764640.0000,  2628640.0000,  23.74707230,  119.59622524,  372,  328,  118,   77
 6384,  7137,  763800.0000,  2628630.0000,  23.74712025,  119.58798926,  538,  554,  182,   99
 6385,  7137,  763810.0000,  2628630.0000,  23.74711861,  119.58808729,  496,  528,  173,   94
 6386,  7137,  763820.0000,  2628630.0000,  23.74711696,  119.58818532,  484,  491,  170,  103
 6387,  7137,  763830.0000,  2628630.0000,  23.74711532,  119.58828334,  481,  471,  170,  112
 6388,  7137,  763840.0000,  2628630.0000,  23.74711368,  119.58838137,  480,  429,  160,  110
 6389,  7137,  763850.0000,  2628630.0000,  23.74711204,  119.58847939,  463,  383,  158,  111
 6390,  7137,  763860.0000,  2628630.0000,  23.74711039,  119.58857742,  410,  367,  166,  112
 6391,  7137,  763870.0000,  2628630.0000,  23.74710875,  119.58867545,  419,  354,  161,  118
 6392,  7137,  763880.0000,  2628630.0000,  23.74710711,  119.58877347,  421,  336,  163,  109
 6393,  7137,  763890.0000,  2628630.0000,  23.74710546,  119.58887150,  412,  352,  170,  125
 6394,  7137,  763900.0000,  2628630.0000,  23.74710382,  119.58896953,  412,  341,  160,  111
 6395,  7137,  763910.0000,  2628630.0000,  23.74710218,  119.58906755,  393,  344,  172,  118
